station_id,lat,lon,amount,datetime,file,valid_time
STS,38.5037,-122.811,248,2024-11-20 23:53,fcst.t48,2024-11-21 00:00:00
RDD,40.509,-122.2934,104,2024-11-20 23:53,fcst.t48,2024-11-21 00:00:00
STS,38.5037,-122.811,193,2024-11-21 05:53,fcst.t48,2024-11-21 06:00:00
MHS,41.3149,-122.3171,447,2024-11-21 05:56,fcst.t48,2024-11-21 06:00:00
BLU,39.275,-120.7097,100,2024-11-21 11:52,fcst.t48,2024-11-21 12:00:00
STS,38.5037,-122.811,120,2024-11-21 11:53,fcst.t48,2024-11-21 12:00:00
UKI,39.1258,-123.2008,103,2024-11-21 11:56,fcst.t48,2024-11-21 12:00:00
STS,38.5037,-122.811,193,2024-11-21 05:53,fcst.w24,2024-11-21 06:00:00
MHS,41.3149,-122.3171,447,2024-11-21 05:56,fcst.w24,2024-11-21 06:00:00
BLU,39.275,-120.7097,100,2024-11-21 11:52,fcst.w24,2024-11-21 12:00:00
STS,38.5037,-122.811,120,2024-11-21 11:53,fcst.w24,2024-11-21 12:00:00
UKI,39.1258,-123.2008,103,2024-11-21 11:56,fcst.w24,2024-11-21 12:00:00
STS,38.5037,-122.811,134,2024-11-21 17:53,fcst.w48,2024-11-21 18:00:00
RDD,40.509,-122.2934,103,2024-11-21 17:53,fcst.w48,2024-11-21 18:00:00
UKI,39.1258,-123.2008,123,2024-11-21 17:56,fcst.w48,2024-11-21 18:00:00
MHS,41.3149,-122.3171,151,2024-11-21 17:56,fcst.w48,2024-11-21 18:00:00
OVE,39.49,-121.62,128,2024-11-21 23:53,fcst.w48,2024-11-22 00:00:00
STS,38.5037,-122.811,209,2024-11-21 23:53,fcst.w48,2024-11-22 00:00:00
OVE,39.49,-121.62,130,2024-11-22 05:53,fcst.w48,2024-11-22 06:00:00
STS,38.5037,-122.811,100,2024-11-22 05:53,fcst.w48,2024-11-22 06:00:00
OTH,43.4195,-124.2437,144,2024-11-22 11:56,fcst.w48,2024-11-22 12:00:00
UKI,39.1258,-123.2008,109,2024-11-22 11:56,fcst.w48,2024-11-22 12:00:00
MHS,41.3149,-122.3171,118,2024-11-22 11:56,fcst.w48,2024-11-22 12:00:00
CEC,41.7837,-124.238,139,2024-11-22 11:56,fcst.w48,2024-11-22 12:00:00
SXT,42.6003,-123.3642,109,2024-11-22 11:56,fcst.w48,2024-11-22 12:00:00
OVE,39.49,-121.62,130,2024-11-22 05:53,fcst.r24,2024-11-22 06:00:00
STS,38.5037,-122.811,100,2024-11-22 05:53,fcst.r24,2024-11-22 06:00:00
OTH,43.4195,-124.2437,144,2024-11-22 11:56,fcst.r24,2024-11-22 12:00:00
UKI,39.1258,-123.2008,109,2024-11-22 11:56,fcst.r24,2024-11-22 12:00:00
MHS,41.3149,-122.3171,118,2024-11-22 11:56,fcst.r24,2024-11-22 12:00:00
CEC,41.7837,-124.238,139,2024-11-22 11:56,fcst.r24,2024-11-22 12:00:00
SXT,42.6003,-123.3642,109,2024-11-22 11:56,fcst.r24,2024-11-22 12:00:00
MYV,39.102,-121.5688,113,2024-11-22 23:53,fcst.r48,2024-11-23 00:00:00
SAC,38.5069,-121.495,104,2024-11-22 23:53,fcst.r48,2024-11-23 00:00:00
VCB,38.3775,-121.9575,100,2024-11-22 23:53,fcst.r48,2024-11-23 00:00:00
BAB,39.1361,-121.4366,136,2024-11-22 23:55,fcst.r48,2024-11-23 00:00:00
SFO,37.619,-122.3749,162,2024-11-22 23:56,fcst.r48,2024-11-23 00:00:00
SMF,38.6954,-121.5908,100,2024-11-23 05:53,fcst.r48,2024-11-23 06:00:00
OVE,39.49,-121.62,123,2024-11-23 05:53,fcst.r48,2024-11-23 06:00:00
VCB,38.3775,-121.9575,113,2024-11-23 05:53,fcst.r48,2024-11-23 06:00:00
SUU,38.2627,-121.9275,102,2024-11-23 05:55,fcst.r48,2024-11-23 06:00:00
BLU,39.275,-120.7097,120,2024-11-23 11:52,fcst.r48,2024-11-23 12:00:00
